ID,Max Speed,Timestamp
0,39.27,2026-05-30 17:34:17.806571
1,39.27,2026-05-30 17:34:17.806610
3,34.12,2026-05-30 17:34:17.806623
8,29.05,2026-05-30 17:34:17.806631
9,43.49,2026-05-30 17:34:17.806641
11,39.27,2026-05-30 17:34:17.806668
